Participant,Action,Date_of_Notification/Deposit,Date_of_Effect
Barbados,Accession,1948-09-12,
Switzerland,Signature,1967-01-27,
Romania,Signature,1967-01-27,
Viet Nam,Signature,1967-01-27,
Republic of Korea,Declaration,1967-01-27,
Poland,Signature,1967-01-27,
Philippines,Signature,1967-01-27,
Panama,Signature,1967-01-27,
Rwanda,Signature,1967-01-27,
Democratic Republic of the Congo,Signature,1967-01-27,
Dominican Republic,Signature,1967-01-27,
Lesotho,Signature,1967-01-27,
Cameroon,Signature,1967-01-27,
Cyprus,Signature,1967-01-27,
Belgium,Signature,1967-01-27,
Colombia,Signature,1967-01-27,
Central African Republic,Signature,1967-01-27,
Argentina,Signature,1967-01-27,
Bolivia,Signature,1967-01-27,
China,Signature,1967-01-27,
Chile,Signature,1967-01-27,
Burundi,Signature,1967-01-27,
Togo,Signature,1967-01-27,
Thailand,Signature,1967-01-27,
Turkey,Signature,1967-01-27,
Afghanistan,Signature,1967-01-27,
Laos,Signature,1967-01-27,
Italy,Signature,1967-01-27,
Israel,Signature,1967-01-27,
Ireland,Signature,1967-01-27,
Iran,Signature,1967-01-27,
Indonesia,Signature,1967-01-27,
Iceland,Signature,1967-01-27,
Honduras,Signature,1967-01-27,
Tunisia,Signature,1967-01-27,
Greece,Signature,1967-01-27,
Haiti,Signature,1967-01-27,
Germany,Signature,1967-01-27,
Ethiopia,Signature,1967-01-27,
El Salvador,Signature,1967-01-27,
Yugoslavia (Socialist Federal Republic of),Signature,1967-01-27,
Luxembourg,Signature,1967-01-27,
New Zealand,Signature,1967-01-27,
Nicaragua,Signature,1967-01-27,
Venezuela,Signature,1967-01-27,
Uruguay,Signature,1967-01-27,
Ghana,Signature,1967-01-27,
Brazil,Signature,1967-01-30,
Jordan,Signature,1967-02-02,
German Democratic Republic,Ratification,1967-02-02,10/10/1967
Somalia,Signature,1967-02-02,
Norway,Signature,1967-02-03,
Guyana,Signature,1967-02-03,
Belarus,Signature,1967-02-10,
Netherlands,Signature,1967-02-10,
Malayasia,Signature,1967-02-20,
Austria,Signature,1967-02-20,
Lebanon,Signature,1967-02-23,
Iraq,Signature,1967-02-27,
Mexico,Signature,1967-02-27,
South Africa,Signature,1967-03-01,
India,Signature,1967-03-03,
Burkina Faso,Signature,1967-03-03,
Ceylon,Signature,1967-03-10,
Bulgaria,Ratification,1967-03-28,10/10/1967
Vatican City State,Signature,1967-04-05,
Niger,Ratification,1967-04-17,10/10/1967
San Marino,Signature,1967-04-21,
Czechoslovakia,Ratification,1967-05-11,10/10/1967
Burma,Signature,1967-05-22,
Gambia,Signature,1967-06-02,
Hungary,Ratification,1967-06-26,10/10/1967
Jamaica,Signature,1967-06-29,
Peru,Signature,1967-06-30,
Finland,Ratification,1967-07-12,10/10/1967
Sierra Leone,Ratification,1967-07-13,10/10/1967
Trinidad and Tobago,Signature,1967-08-17,
Pakistan,Signature,1967-09-12,
France,Signature,1967-09-29,
Japan,Ratification,1967-10-10,10/10/1967
Nepal,Ratification,1967-10-10,10/10/1967
Australia,Ratification,1967-10-10,10/10/1967
Russian Federation,Ratification,1967-10-10,10/10/1967
United Kingdom,Ratification,1967-10-10,10/10/1967
Mongolia,Ratification,1967-10-10,10/10/1967
Denmark,Ratification,1967-10-10,10/10/1967
Egypt,Ratification,1967-10-10,10/10/1967
United States,Ratification,1967-10-10,10/10/1967
Canada,Ratification,1967-10-10,10/10/1967
Sweden,Ratification,1967-10-11,11/10/1967
Republic of Korea,Ratification,1967-10-13,13/10/1967
Ecuador,Signature,1967-10-27,
Ukraine,Ratification,1967-10-31,31/10/1967
Nigeria,Accession,1967-11-14,
Nepal,Ratification,1967-11-22,
Morocco,Accession,1967-12-21,
Morocco,Accession,1967-12-22,
Egpyt,Ratification,1968-01-23,
Poland,Ratification,1968-01-30,
Mexico,Ratification,1968-01-31,
Iceland,Ratification,1968-02-05,
Austria,Ratification,1968-02-26,
Mauritius,Succession,1968-03-12,
Turkey,Ratification,1968-03-27,
Tunisia,Ratification,1968-03-28,
Tunisia,Ratification,1968-04-04,
Pakistan,Ratification,1968-04-08,
Romania,Ratification,1968-04-09,
Tunisia,Ratification,1968-04-17,
Uganda,Accession,1968-04-24,
New Zealand,Ratification,1968-05-31,
Burkina Faso,Ratification,1968-06-18,
Libya,Accession,1968-07-03,
Ireland,Ratification,1968-07-17,
Ireland,Ratification,1968-07-19,
Madagascar,Accession,1968-08-22,
Thailand,Ratification,1968-09-05,
Thailand,Ratification,1968-09-10,
South Africa,Ratification,1968-09-30,
South Africa,Ratification,1968-10-08,
San Marino,Ratification,1968-10-29,
Dominican Republic,Ratification,1968-11-21,
Spain,Accession,1968-11-27,
Spain,Accession,1968-12-07,
El Salvador,Ratification,1969-01-15,
San Marino,Ratification,1969-02-03,
Brazil,Ratification,1969-03-05,
Ecuador,Ratification,1969-03-07,
Argentina,Ratification,1969-03-26,
Lebanon,Ratification,1969-03-31,
Mauritius,Succession,1969-04-07,12/03/1968
Lebanon,Ratification,1969-06-30,
Norway,Ratification,1969-07-01,
Iraq,Ratification,1969-09-23,
Netherlands,Territorial application,1969-10-10,
Netherlands,Ratification,1969-10-10,
Switzerland,Ratification,1969-12-18,
Venezuela,Ratification,1970-03-03,
Burma,Ratification,1970-03-18,
Republic of China,Ratification,1970-07-24,
France,Ratification,1970-08-05,
Jamaica,Ratification,1970-08-06,
Jamaica,Ratification,1970-08-10,
Uruguay,Ratification,1970-08-31,
Greece,Ratification,1971-01-19,
Germany,Ratification,1971-02-10,
Tonga,Succession,1971-06-22,
Tonga,Succession,1971-07-07,
Italy,Ratification,1972-05-04,
Kuwait,Accession,1972-06-20,
Cyprus,Ratification,1972-07-05,
Fiji,Succession,1972-07-14,
Fiji,Succession,1972-07-18,
Laos,Ratification,1973-01-15,
Belgium,Ratification,1973-03-31,
Zambia,Accession,1973-08-28,28/08/1973
Bahamas,Succession,1976-08-11,
Singapore,Accession,1976-09-10,10/09/1976
Israel,Ratification,1977-03-01,01/03/1977
Seychelles,Accession,1978-01-05,05/01/1978
Peru,Ratification,1979-03-01,01/03/1979
Papua New Guinea,Succession,1980-10-27,16/09/1975
India,Ratification,1982-01-18,18/01/1982
China,Accession,1984-01-12,12/01/1984
Kenya,Accession,1984-01-19,19/01/1984
Bangladesh,Accession,1986-01-14,14/01/1986
Benin,Accession,1986-07-02,02/07/1986
Sri Lanka,Ratification,1986-11-18,18/11/1986
Afghanistan,Ratification,1988-03-17,17/03/1988
Antigua and Barbuda,Succession,1988-12-26,01/11/1981
Equatorial Guinea,Accession,1989-01-16,16/01/1989
Antigua and Barbuda,Succession,1989-01-26,01/11/1981
Slovakia,Succession,1993-05-17,01/01/1993
Czech Republic,Succession,1993-09-24,01/01/1993
Czech Republic,Succession,1993-09-29,01/01/1993
Portugal,Accession,1996-05-29,29/05/1996
Kazakhstan,Accession,1998-06-11,11/06/1998
St. Vincent and the Grenadines,Succession,1999-05-13,27/10/1979
Indonesia,Ratification,2002-06-25,25/06/2002
Luxembourg,Ratification,2006-01-17,17/01/2006
